Date, Time, Open, High, Low, Close, Volume, AvgExp, AvgExp, %K, %D, ROC, ZeroLine, RSI, OverBot, OverSld, ACCUMULATION_DISTRIBUTION, MACD, MACDAvg, MACDDiff, ZeroLine, WILLIAMS_R, HIGH_PRICE_ACCELERATION, DISPARITY_5, DISPARITY_10
1/3/2000,16:00:00,1481.5,1496,1452.25,1466.75,20660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2000,16:00:00,1464.75,1465.75,1409.5,1411.5,22703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2000,16:00:00,1407.75,1427.25,1385,1413,26420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2000,16:00:00,1399.5,1426.25,1395.75,1404.75,23206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7/2000,16:00:00,1404.25,1461.5,1402,1459.75,22214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/10/2000,16:00:00,1459.75,1481,1455.25,1474.25,21040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2000,16:00:00,1473,1473.25,1447,1454,22515,1454,1454,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,100.89,0
1/12/2000,16:00:00,1452,1456.5,1438.75,1441.5,21771,1451.73,1453.51,0,0,0,0,0,0,0,0.14,-1,-0.2,-0.8,0,0,0,99.63,0
1/13/2000,16:00:00,1445,1466.75,1443.25,1459,20395,1453.05,1453.73,0,0,0,0,0,0,0,1.07,-0.37,-0.23,-0.14,0,0,0,100.09,0
1/14/2000,16:00:00,1459.75,1485,1459.25,1478.25,19683,1457.63,1454.69,0,0,0,0,0,0,0,1.01,1.66,0.14,1.51,0,0,0,101.15,0
1/18/2000,16:00:00,1478.5,1479,1462,1469.25,21128,1459.74,1455.26,0,0,0,0,0,0,0,0.04,2.51,0.62,1.89,0,0,0,100.61,0
1/19/2000,16:00:00,1463.75,1474,1450.25,1472.5,19333,1462.06,1455.93,0,0,0,0,0,0,0,0.2,3.41,1.18,2.24,0,0,0,100.57,0
1/20/2000,16:00:00,1481.5,1485,1448,1456.25,24678,1461.01,1455.95,0,0,0,0,0,0,0,0.34,2.78,1.5,1.28,0,34.64,0,99.26,99.95
1/21/2000,16:00:00,1452.5,1463.25,1449.25,1454,17922,1459.73,1455.87,0,0,0,0,0,0,0,0.5,2.08,1.61,0.46,0,67.03,0,99.18,99.46
1/24/2000,16:00:00,1458,1468.5,1403.25,1412.75,22592,1451.19,1454.18,0,0,0,0,0,0,0,0.22,-1.79,0.93,-2.72,0,88.38,0,97.23,96.95
1/25/2000,16:00:00,1412.5,1424.75,1397.5,1419,27286,1445.34,1452.8,0,0,0,0,0,0,0,0.44,-4.3,-0.11,-4.19,0,75.43,0,98.34,97.75
1/26/2000,16:00:00,1418,1422.75,1408.25,1416,20114,1440,1451.36,0,0,0,0,0,0,0,0.26,-6.46,-1.38,-5.08,0,78.86,0,98.91,97.8
1/27/2000,16:00:00,1414.25,1428.5,1388,1410.75,25423,1434.68,1449.76,0,0,0,0,0,0,0,0.31,-8.49,-2.8,-5.69,0,76.55,0,99.17,97.64
1/28/2000,16:00:00,1413.5,1420,1361.25,1367,27459,1422.38,1446.52,0,0,0,0,0,0,0,0.16,-13.48,-4.94,-8.54,0,95.35,0,97.29,95.22
1/31/2000,16:00:00,1370,1403,1357,1400.75,23539,1418.45,1444.72,0,0,0,0,0,0,0,0.78,-14.54,-6.86,-7.68,0,65.82,0,99.86,98.1
2/1/2000,16:00:00,1401.75,1421.75,1391.25,1416.75,21498,1418.14,1443.63,0,0,0,0,0,0,0,0.69,-13.93,-8.27,-5.66,0,53.32,0,101.03,99.59
